Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,,,,Baseline,BLIND,1,1,pin prick,1,7.37,1,0,2,0.57,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,39,2,Mild touch,18,0.33,0,0,0,0.00,1,0.03,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,40,2,Mild touch,19,0.37,0,0,0,0.00,1,0.23,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,41,2,Mild touch,20,5.77,1,0,1,0.20,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,42,2,Mild touch,21,1.33,1,0,1,0.47,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,43,2,Mild touch,22,4.67,1,2,0,0.00,0,0.00,0,0.00,1,0.17,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,44,2,Mild touch,23,0.57,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,45,2,Mild touch,24,0.83,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,46,2,Mild touch,25,30.00,1,0,1,0.67,0,0.00,0,0.00,1,2.40,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,47,2,Mild touch,26,3.50,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,48,2,Mild touch,27,0.70,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,49,3,light,1,0.70,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,50,2,Mild touch,28,2.30,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,51,3,light,2,0.30,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,52,2,Mild touch,29,1.27,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,53,2,Mild touch,30,1.10,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,54,3,light,3,1.03,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,55,3,light,4,30.00,1,4,0,0.00,0,0.00,0,0.00,3,4.03,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,56,3,light,5,3.20,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,57,3,light,6,4.60,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,58,3,light,7,0.70,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,59,3,light,8,2.87,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,60,3,light,9,7.33,0,0,3,3.23,1,0.43,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,61,3,light,10,30.00,1,1,2,2.73,0,0.00,0,0.00,1,1.67,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,62,3,light,11,6.13,1,0,1,0.40,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,63,3,light,12,18.40,0,0,0,0.00,0,0.00,0,0.00,1,3.10,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,64,3,light,13,2.10,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,65,3,light,14,30.00,1,0,0,0.00,0,0.00,0,0.00,1,2.03,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,66,3,light,15,2.20,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,67,3,light,16,2.90,1,0,1,0.20,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,68,3,light,17,0.60,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,69,3,light,18,1.87,1,0,1,0.20,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,70,3,light,19,3.47,1,3,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,71,3,light,20,30.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,72,4,heat,1,0.90,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,73,4,heat,2,1.60,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,74,4,heat,3,1.97,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,75,4,heat,4,30.00,1,4,0,0.00,0,0.00,0,0.00,4,9.37,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,76,4,heat,5,16.30,1,5,0,0.00,0,0.00,0,0.00,1,2.03,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,77,4,heat,6,1.13,0,0,0,0.00,1,0.10,0,0.00,1,0.13,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,78,4,heat,7,2.53,1,1,1,0.40,6,0.40,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,79,4,heat,8,1.03,1,1,1,0.13,1,0.03,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,80,4,heat,9,30.00,1,5,3,0.80,1,0.07,0,0.00,1,0.10,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,81,4,heat,10,1.40,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,82,4,heat,11,30.00,1,1,1,0.53,0,0.00,0,0.00,1,0.87,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,83,4,heat,12,1.20,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,84,4,heat,13,1.53,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,85,4,heat,14,0.40,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,86,4,heat,15,0.90,0,0,1,0.17,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,87,4,heat,16,2.03,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,88,4,heat,17,2.00,1,1,1,0.17,0,0.00,0,0.00,1,0.17,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,89,4,heat,18,1.60,1,1,1,0.27,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,90,4,heat,19,1.23,1,0,1,0.07,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,91,4,heat,20,30.00,1,0,1,0.13,1,0.17,0,0.00,1,0.47,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
