day,file,session,mouse,sex,phase,treatment,session_s,n_deliveries,stim_median_iti_s,cls,behaviour,n_events,events_per_min,total_dur_s,pct_of_session,median_iei_s
Day1 no drug,ScoringAB_female2bottom000226_09_0212_33_04_009.mat,2,F2,F,Baseline (no injection),None,1680.3,88,2.9,reflexive,withdrawal,92,3.285196111731582,,,1.4666652
Day1 no drug,ScoringAB_female2bottom000226_09_0212_33_04_009.mat,2,F2,F,Baseline (no injection),None,1680.3,88,2.9,reflexive,flinch,25,0.8927163347096692,,,0.58333275
Day1 no drug,ScoringAB_female3bottom000326_09_0213_03_46_008.mat,3,F3,F,Baseline (no injection),None,1691.9,85,2.67,affective,attending,15,0.5319363844128413,4.433328899999999,0.2620276606643287,101.86656479999999
Day1 no drug,ScoringAB_female3bottom000326_09_0213_03_46_008.mat,3,F3,F,Baseline (no injection),None,1691.9,85,2.67,affective,lickbite,56,1.9858958351412743,30.866635799999997,1.8243429607155521,2.7999972
Day1 no drug,ScoringAB_female3bottom000326_09_0213_03_46_008.mat,3,F3,F,Baseline (no injection),None,1691.9,85,2.67,affective,guarding,25,0.8865606406880688,16.8333165,0.9949170574096693,2.68333065
Day1 no drug,ScoringAB_female3bottom000326_09_0213_03_46_008.mat,3,F3,F,Baseline (no injection),None,1691.9,85,2.67,affective,escape,101,3.5817049883797982,85.0999149,5.029749005082943,6.049993949999999
Day1 no drug,ScoringAB_female3bottom000326_09_0213_03_46_008.mat,3,F3,F,Baseline (no injection),None,1691.9,85,2.67,reflexive,withdrawal,88,3.1206934552220025,,,1.999998
Day1 no drug,ScoringAB_female3bottom000326_09_0213_03_46_008.mat,3,F3,F,Baseline (no injection),None,1691.9,85,2.67,reflexive,flinch,33,1.1702600457082508,,,4.0333293
Day1 no drug,ScoringAB_male1bottom000626_09_0214_37_16_006.mat,4,M1,M,Baseline (no injection),None,1692.4,100,2.23,affective,attending,32,1.1345070532401884,30.099969899999998,1.7785743830139251,13.766652899999999
Day1 no drug,ScoringAB_male1bottom000626_09_0214_37_16_006.mat,4,M1,M,Baseline (no injection),None,1692.4,100,2.23,affective,lickbite,21,0.7445202536888736,23.9333094,1.4141931417541511,33.61663305
Day1 no drug,ScoringAB_male1bottom000626_09_0214_37_16_006.mat,4,M1,M,Baseline (no injection),None,1692.4,100,2.23,affective,guarding,28,0.9926936715851647,35.7332976,2.111441570975557,19.2999807
Day1 no drug,ScoringAB_male1bottom000626_09_0214_37_16_006.mat,4,M1,M,Baseline (no injection),None,1692.4,100,2.23,affective,escape,69,2.446280833549156,106.8998931,6.316598057946466,14.183319149999999
Day1 no drug,ScoringAB_male1bottom000626_09_0214_37_16_006.mat,4,M1,M,Baseline (no injection),None,1692.4,100,2.23,reflexive,withdrawal,96,3.4035211597205652,,,2.2333311
Day1 no drug,ScoringAB_male1bottom000626_09_0214_37_16_006.mat,4,M1,M,Baseline (no injection),None,1692.4,100,2.23,reflexive,flinch,144,5.105281739580848,,,1.2666654
Day1 no drug,ScoringAB_male2bottom000526_09_0214_06_31_004.mat,5,M2,M,Baseline (no injection),None,1692.1,83,2.88,affective,attending,37,1.3119805094274688,23.0333103,1.361227665819593,10.683322650000001
Day1 no drug,ScoringAB_male2bottom000526_09_0214_06_31_004.mat,5,M2,M,Baseline (no injection),None,1692.1,83,2.88,affective,lickbite,19,0.6737197210573489,8.8333245,0.5220337647499163,24.68330865
Day1 no drug,ScoringAB_male2bottom000526_09_0214_06_31_004.mat,5,M2,M,Baseline (no injection),None,1692.1,83,2.88,affective,guarding,21,0.7446375864318067,25.066641599999997,1.481393928648819,6.64999335
Day1 no drug,ScoringAB_male2bottom000526_09_0214_06_31_004.mat,5,M2,M,Baseline (no injection),None,1692.1,83,2.88,affective,escape,105,3.7231879321590333,162.1331712,9.581782006579596,8.31665835
Day1 no drug,ScoringAB_male2bottom000526_09_0214_06_31_004.mat,5,M2,M,Baseline (no injection),None,1692.1,83,2.88,reflexive,withdrawal,99,3.5104343360356602,,,2.333331
Day1 no drug,ScoringAB_male2bottom000526_09_0214_06_31_004.mat,5,M2,M,Baseline (no injection),None,1692.1,83,2.88,reflexive,flinch,110,3.900482595595178,,,1.0333322999999999
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,affective,attending,43,1.49796937100982,27.4999725,1.5966711825043547,5.199994799999999
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,affective,lickbite,21,0.7315664370047958,12.199987799999999,0.7083413973292045,7.51665915
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,affective,guarding,24,0.836075928005481,17.4333159,1.012192761757306,1.999998
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,affective,escape,57,1.9856803290130174,107.9665587,6.268627830462551,17.6999823
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,reflexive,withdrawal,104,3.622995688023751,,,1.5666650999999998
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,reflexive,flinch,48,1.672151856010962,,,1.4999985
