session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,0,,0.0,,,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,attending,affective,6,1.2666654,1.2000012000012001,0.4222222222222223,0.3,0.06333327
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,26,8.7666579,5.200005200005201,2.9222222222222225,1.3,0.438332895
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,11,10.333323,2.2000022000022,3.444444444444445,0.55,0.51666615
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,escape,affective,17,14.7666519,3.4000034000034005,4.9222222222222225,0.85,0.7383325949999999
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,26,,5.200005200005201,,1.3,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,12,,2.4000024000024003,,0.6,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.99969999999996,4.999994999999999,0,0.0,attending,affective,5,1.1666655,1.0000010000010002,0.3888888888888889,0.25,0.058333275
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,9,1.5999983999999998,1.8000018000018003,0.5333333333333333,0.45,0.07999991999999999
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,1,0.999999,0.20000020000020002,0.33333333333333337,0.05,0.04999995
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.99969999999996,4.999994999999999,0,0.0,escape,affective,19,8.3666583,3.8000038000038003,2.7888888888888888,0.95,0.41833291499999997
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,20,,4.000004000004001,,1.0,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,1,,0.20000020000020002,,0.05,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.99969999999996,4.999994999999999,0,0.0,attending,affective,5,0.7999991999999999,1.0000010000010002,0.26666666666666666,0.16129032258064516,0.02580642580645161
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,14,4.9333284,2.8000028000028006,1.6444444444444446,0.45161290322580644,0.1591396258064516
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,8,3.2666633999999997,1.6000016000016002,1.088888888888889,0.25806451612903225,0.10537623870967741
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.99969999999996,4.999994999999999,0,0.0,escape,affective,9,9.6333237,1.8000018000018003,3.2111111111111112,0.2903225806451613,0.31075237741935485
