measure,behaviour,stimulus,n_pairs,day1_median,day2_median,delta_median,p_wilcoxon,p_ttest,p_floor,n1,n2,day1_mean,day2_mean,day1_sem,day2_sem,p_mannwhitney,p_welch,q_wilcoxon
n_bouts,flinch,Heat,6,22.5,10.0,-10.5,0.3125,0.21127477959009644,0.03125,6,6,27.666666666666668,12.0,8.90193487082693,3.9916579679793878,0.1993972627538182,0.1527549557762779,0.3409090909090909
n_bouts,flinch,Light touch,6,7.5,0.5,-6.5,0.03125,0.051480295267278986,0.03125,6,6,11.166666666666666,1.6666666666666667,3.4001633947666563,0.9189365834726814,0.004479258891846413,0.037402712625930756,0.09375
n_bouts,flinch,Mild touch,6,14.0,3.5,-11.0,0.09375,0.05014992576078788,0.03125,6,6,14.666666666666666,4.166666666666667,4.013864859597432,1.1377365443917342,0.054241117559770936,0.04684169344472086,0.14361702127659576
n_bouts,flinch,Pin prick,6,14.0,9.5,-4.0,0.4375,0.2245133036415152,0.03125,6,6,19.166666666666668,9.833333333333334,5.381552853137384,2.386303510546059,0.24025974025974026,0.15754745213627347,0.45
n_del,attending,Heat,6,20.0,17.0,-2.0,0.3125,0.2200674181542675,0.03125,6,6,19.333333333333332,16.833333333333332,1.308094458023239,1.3270686158262923,0.147401302167895,0.209389112233081,0.3409090909090909
n_del,attending,Light touch,6,24.0,17.0,-8.5,0.0625,0.022137521228316,0.03125,6,6,24.166666666666668,16.0,1.887090647295755,1.1547005383792517,0.01937338485003019,0.005756352721266973,0.10714285714285714
n_del,attending,Mild touch,6,22.5,16.0,-6.5,0.03125,0.00742038763627437,0.03125,6,6,22.666666666666668,15.666666666666666,1.2560962454277849,0.8027729719194864,0.00492203567532315,0.0013154041295210905,0.09375
n_del,attending,Pin prick,6,22.5,16.5,-6.0,0.0625,0.06314322217284216,0.03125,6,6,22.833333333333332,16.166666666666668,1.9902540318037572,0.9457507306074073,0.029192459872808656,0.01875866274597903,0.10714285714285714
n_del,lickbite,Heat,6,20.0,17.0,-2.0,0.3125,0.2200674181542675,0.03125,6,6,19.333333333333332,16.833333333333332,1.308094458023239,1.3270686158262923,0.147401302167895,0.209389112233081,0.3409090909090909
n_del,lickbite,Light touch,6,24.0,17.0,-8.5,0.0625,0.022137521228316,0.03125,6,6,24.166666666666668,16.0,1.887090647295755,1.1547005383792517,0.01937338485003019,0.005756352721266973,0.10714285714285714
n_del,lickbite,Mild touch,6,22.5,16.0,-6.5,0.03125,0.00742038763627437,0.03125,6,6,22.666666666666668,15.666666666666666,1.2560962454277849,0.8027729719194864,0.00492203567532315,0.0013154041295210905,0.09375
n_del,lickbite,Pin prick,6,22.5,16.5,-6.0,0.0625,0.06314322217284216,0.03125,6,6,22.833333333333332,16.166666666666668,1.9902540318037572,0.9457507306074073,0.029192459872808656,0.01875866274597903,0.10714285714285714
n_del,guarding,Heat,6,20.0,17.0,-2.0,0.3125,0.2200674181542675,0.03125,6,6,19.333333333333332,16.833333333333332,1.308094458023239,1.3270686158262923,0.147401302167895,0.209389112233081,0.3409090909090909
n_del,guarding,Light touch,6,24.0,17.0,-8.5,0.0625,0.022137521228316,0.03125,6,6,24.166666666666668,16.0,1.887090647295755,1.1547005383792517,0.01937338485003019,0.005756352721266973,0.10714285714285714
n_del,guarding,Mild touch,6,22.5,16.0,-6.5,0.03125,0.00742038763627437,0.03125,6,6,22.666666666666668,15.666666666666666,1.2560962454277849,0.8027729719194864,0.00492203567532315,0.0013154041295210905,0.09375
n_del,guarding,Pin prick,6,22.5,16.5,-6.0,0.0625,0.06314322217284216,0.03125,6,6,22.833333333333332,16.166666666666668,1.9902540318037572,0.9457507306074073,0.029192459872808656,0.01875866274597903,0.10714285714285714
n_del,escape,Heat,6,20.0,17.0,-2.0,0.3125,0.2200674181542675,0.03125,6,6,19.333333333333332,16.833333333333332,1.308094458023239,1.3270686158262923,0.147401302167895,0.209389112233081,0.3409090909090909
n_del,escape,Light touch,6,24.0,17.0,-8.5,0.0625,0.022137521228316,0.03125,6,6,24.166666666666668,16.0,1.887090647295755,1.1547005383792517,0.01937338485003019,0.005756352721266973,0.10714285714285714
n_del,escape,Mild touch,6,22.5,16.0,-6.5,0.03125,0.00742038763627437,0.03125,6,6,22.666666666666668,15.666666666666666,1.2560962454277849,0.8027729719194864,0.00492203567532315,0.0013154041295210905,0.09375
n_del,escape,Pin prick,6,22.5,16.5,-6.0,0.0625,0.06314322217284216,0.03125,6,6,22.833333333333332,16.166666666666668,1.9902540318037572,0.9457507306074073,0.029192459872808656,0.01875866274597903,0.10714285714285714
n_del,withdrawal,Heat,6,20.0,17.0,-2.0,0.3125,0.2200674181542675,0.03125,6,6,19.333333333333332,16.833333333333332,1.308094458023239,1.3270686158262923,0.147401302167895,0.209389112233081,0.3409090909090909
n_del,withdrawal,Light touch,6,24.0,17.0,-8.5,0.0625,0.022137521228316,0.03125,6,6,24.166666666666668,16.0,1.887090647295755,1.1547005383792517,0.01937338485003019,0.005756352721266973,0.10714285714285714
n_del,withdrawal,Mild touch,6,22.5,16.0,-6.5,0.03125,0.00742038763627437,0.03125,6,6,22.666666666666668,15.666666666666666,1.2560962454277849,0.8027729719194864,0.00492203567532315,0.0013154041295210905,0.09375
n_del,withdrawal,Pin prick,6,22.5,16.5,-6.0,0.0625,0.06314322217284216,0.03125,6,6,22.833333333333332,16.166666666666668,1.9902540318037572,0.9457507306074073,0.029192459872808656,0.01875866274597903,0.10714285714285714
n_del,flinch,Heat,6,20.0,17.0,-2.0,0.3125,0.2200674181542675,0.03125,6,6,19.333333333333332,16.833333333333332,1.308094458023239,1.3270686158262923,0.147401302167895,0.209389112233081,0.3409090909090909
n_del,flinch,Light touch,6,24.0,17.0,-8.5,0.0625,0.022137521228316,0.03125,6,6,24.166666666666668,16.0,1.887090647295755,1.1547005383792517,0.01937338485003019,0.005756352721266973,0.10714285714285714
n_del,flinch,Mild touch,6,22.5,16.0,-6.5,0.03125,0.00742038763627437,0.03125,6,6,22.666666666666668,15.666666666666666,1.2560962454277849,0.8027729719194864,0.00492203567532315,0.0013154041295210905,0.09375
n_del,flinch,Pin prick,6,22.5,16.5,-6.0,0.0625,0.06314322217284216,0.03125,6,6,22.833333333333332,16.166666666666668,1.9902540318037572,0.9457507306074073,0.029192459872808656,0.01875866274597903,0.10714285714285714
