mouse,behaviour,stimulus,n_deliv_day1,n_deliv_day2,rate_day1,rate_day2,rate_ratio,p_rate,rr_lo,rr_hi,p_day1,p_day2,delta,odds_ratio,ci_lo,ci_hi,p_fisher,min_detectable_delta,q_fisher,q_rate,change_index,change_index_lo,change_index_hi
F2,escape,Light touch,17,18,0.5294117647058824,0.0,0.0,0.015777998054838514,0.0028929912039929806,0.8540799318365903,0.29411764705882354,0.0,-0.29411764705882354,16.28,0.8246562015924466,321.39259910760336,0.01906158357771261,0.43,0.04133837402395506,0.032870829280913574,0.0,0.0028929912039929806,0.8540799318365903
F2,escape,Mild touch,20,14,1.05,0.0,0.0,1.5521793023995663e-05,0.0020123955985821523,0.5484709753849959,0.8,0.0,-0.8,106.33333333333333,5.263568323055709,2148.120264393901,2.2845227377686003e-06,0.44,2.418906428225577e-05,0.00013581568895996204,0.0,0.0020123955985821523,0.5484709753849959
F2,escape,Pin prick,31,12,0.5806451612903226,0.0,0.0,0.0038291420055209884,0.004207427931953105,1.158619308164644,0.4838709677419355,0.0,-0.4838709677419355,23.484848484848484,1.2786736331685815,431.3361080180926,0.0031288187400499478,0.37,0.009386456220149842,0.009711592042988014,0.0,0.004207427931953105,1.158619308164644
F2,flinch,ALL,88,57,0.625,0.6842105263157895,1.0947368421052632,0.14039609423921182,0.7306587849145463,1.652377404850628,0.2159090909090909,0.3684210526315789,0.15251196172248802,0.47632591601137697,0.2290269865544486,0.9906534669884314,0.057289061496142116,0.16,0.10312031069305581,0.19345918497529188,1.0947368421052632,0.7306587849145463,1.652377404850628
F2,flinch,Heat,20,13,1.6,1.4615384615384615,0.9134615384615383,0.8052065788335508,0.5265143096682071,1.6183244980637057,0.55,0.9230769230769231,0.3730769230769231,0.14526315789473684,0.021744970343263056,0.9704030269275025,0.049519668318333515,0.38,0.0918921680134024,0.8437793490770743,0.9134615384615383,0.5265143096682071,1.6183244980637057
F2,flinch,Light touch,17,18,0.5882352941176471,0.0,0.0,0.03388625938864887,0.002635272833483646,0.7675181566736333,0.23529411764705882,0.0,-0.23529411764705882,12.333333333333334,0.6110714148887022,248.92526046045842,0.04545454545454544,0.43,0.08612440191387558,0.05930095393013553,0.0,0.002635272833483646,0.7675181566736333
F2,flinch,Mild touch,20,14,0.05,0.2857142857142857,5.7142857142857135,0.150012886377052,0.6752863276819147,27.199346685762055,0.05,0.21428571428571427,0.16428571428571426,0.25274725274725274,0.03263901870619576,1.957202645898092,0.28303432810074175,0.4,0.380195366105474,0.2019313116997358,5.7142857142857135,0.6752863276819147,27.199346685762055
F2,flinch,Pin prick,31,12,0.3870967741935484,1.3333333333333333,3.444444444444444,0.0076717816768240394,1.6351945496982594,7.111141608284909,0.0967741935483871,0.5,0.4032258064516129,0.12280701754385964,0.02596559907220938,0.5808286385411936,0.008045837970905887,0.44,0.020397899081169853,0.01764404731692769,3.444444444444444,1.6351945496982594,7.111141608284909
F2,guarding,ALL,88,57,0.8522727272727273,0.45614035087719296,0.535204678362573,0.4523013103748159,0.34810548526484864,0.8435340361811686,0.375,0.3684210526315789,-0.006578947368421073,1.02472239681542,0.5170825774682125,2.030731717313935,1.0,0.21,1.0,0.5241902603681641,0.535204678362573,0.34810548526484864,0.8435340361811686
F2,guarding,Heat,20,13,1.4,0.7692307692307693,0.5494505494505495,0.2679326063933133,0.27934184847546323,1.1500749978759999,0.7,0.6153846153846154,-0.08461538461538454,1.4434389140271493,0.3501342323232543,5.950620379798545,0.7136109364672503,0.3,0.8129744845829433,0.33019863463964666,0.5494505494505495,0.27934184847546323,1.1500749978759999
F2,guarding,Light touch,17,18,0.17647058823529413,0.0,0.0,0.0713730424949592,0.00696881536045068,2.612148089142371,0.17647058823529413,0.0,-0.17647058823529413,8.931034482758621,0.4263875428604613,187.06779376602643,0.10389610389610388,0.42,0.16728738852632655,0.10533214905117556,0.0,0.00696881536045068,2.612148089142371
F2,guarding,Mild touch,20,14,0.05,0.5714285714285714,11.428571428571427,0.020348166089281552,1.4268522919877762,45.92828577042051,0.05,0.35714285714285715,0.30714285714285716,0.13286713286713286,0.01862353967911881,0.9479226452383857,0.06082441572037855,0.4,0.10839994880859544,0.04024615074804681,11.428571428571427,1.4268522919877762,45.92828577042051
F2,guarding,Pin prick,31,12,1.3870967741935485,0.6666666666666666,0.48062015503875966,0.7831846870034745,0.24204252911353732,1.0527580012093976,0.4838709677419355,0.6666666666666666,0.18279569892473113,0.49732620320855614,0.13067542891123746,1.8927303660571235,0.3270547728857428,0.37,0.4297070008717789,0.8306504256097457,0.48062015503875966,0.24204252911353732,1.0527580012093976
F2,lickbite,ALL,88,57,1.3522727272727273,0.19298245614035087,0.14270971546513342,1.414750276138331e-10,0.08111982071620087,0.272112517901026,0.6818181818181818,0.12280701754385964,-0.5590111642743221,14.293567251461988,5.88801475847434,34.698633266504395,2.072742221639379e-11,0.19,1.1567752543903504e-09,6.189532458105198e-09,0.14270971546513342,0.08111982071620087,0.272112517901026
F2,lickbite,Heat,20,13,2.15,0.6153846153846154,0.2862254025044723,0.0010793291564467696,0.1441444342115359,0.6269526558070855,0.95,0.3076923076923077,-0.6423076923076922,27.444444444444443,3.699260420944524,203.60759858909455,0.00015758249907304417,0.42,0.0008342602892102339,0.003372903613896155,0.2862254025044723,0.1441444342115359,0.6269526558070855
F2,lickbite,Light touch,17,18,0.17647058823529413,0.0,0.0,0.15116001047237365,0.00696881536045068,2.612148089142371,0.11764705882352941,0.0,-0.11764705882352941,5.967741935483871,0.26602842633662466,133.87270036874904,0.22857142857142856,0.4,0.31893687707641194,0.2019313116997358,0.0,0.00696881536045068,2.612148089142371
F2,lickbite,Mild touch,20,14,0.8,0.07142857142857142,0.08928571428571427,0.0010166218333445068,0.024411182680692124,0.690923125401239,0.65,0.07142857142857142,-0.5785714285714286,16.2,2.4024821201335813,109.23702524179782,0.0011182458624060402,0.33,0.003849254001414683,0.003372903613896155,0.08928571428571427,0.024411182680692124,0.690923125401239
