day,mouse,stimulus,behaviour,n_events,n_deliveries
Day 2 drug,M1,Heat,escape,1,19
Day 2 drug,M1,Mild touch,withdrawal,9,17
Day 2 drug,M1,Mild touch,flinch,1,17
Day 2 drug,M1,Mild touch,attending,0,17
Day 2 drug,M1,Mild touch,lickbite,0,17
Day 2 drug,M1,Mild touch,guarding,0,17
Day 2 drug,M1,Mild touch,escape,1,17
Day 2 drug,M2,Heat,withdrawal,10,19
Day 2 drug,M2,Heat,flinch,6,19
Day 2 drug,M2,Heat,attending,2,19
Day 2 drug,M2,Heat,lickbite,0,19
Day 2 drug,M2,Heat,guarding,0,19
Day 2 drug,M2,Heat,escape,3,19
Day 2 drug,M2,Pin prick,withdrawal,12,17
Day 2 drug,M2,Pin prick,flinch,3,17
Day 2 drug,M2,Pin prick,attending,4,17
Day 2 drug,M2,Pin prick,lickbite,1,17
Day 2 drug,M2,Pin prick,guarding,1,17
Day 2 drug,M2,Pin prick,escape,3,17
Day 2 drug,M2,Mild touch,withdrawal,9,15
Day 2 drug,M2,Mild touch,flinch,2,15
Day 2 drug,M2,Mild touch,attending,1,15
Day 2 drug,M2,Mild touch,lickbite,0,15
Day 2 drug,M2,Mild touch,guarding,1,15
Day 2 drug,M2,Mild touch,escape,2,15
Day 2 drug,M2,Light touch,withdrawal,8,19
Day 2 drug,M2,Light touch,flinch,4,19
Day 2 drug,M2,Light touch,attending,2,19
Day 2 drug,M2,Light touch,lickbite,0,19
Day 2 drug,M2,Light touch,guarding,0,19
Day 2 drug,M2,Light touch,escape,5,19
Day 2 drug,M3,Light touch,withdrawal,11,17
Day 2 drug,M3,Light touch,flinch,5,17
Day 2 drug,M3,Light touch,attending,2,17
Day 2 drug,M3,Light touch,lickbite,0,17
Day 2 drug,M3,Light touch,guarding,0,17
Day 2 drug,M3,Light touch,escape,3,17
Day 2 drug,M3,Mild touch,withdrawal,13,17
Day 2 drug,M3,Mild touch,flinch,8,17
Day 2 drug,M3,Mild touch,attending,3,17
Day 2 drug,M3,Mild touch,lickbite,0,17
Day 2 drug,M3,Mild touch,guarding,0,17
Day 2 drug,M3,Mild touch,escape,2,17
Day 2 drug,M3,Heat,withdrawal,20,21
Day 2 drug,M3,Heat,flinch,23,21
Day 2 drug,M3,Heat,attending,6,21
Day 2 drug,M3,Heat,lickbite,8,21
Day 2 drug,M3,Heat,guarding,9,21
Day 2 drug,M3,Heat,escape,8,21
Day 2 drug,M3,Pin prick,withdrawal,13,16
Day 2 drug,M3,Pin prick,flinch,17,16
Day 2 drug,M3,Pin prick,attending,6,16
Day 2 drug,M3,Pin prick,lickbite,1,16
Day 2 drug,M3,Pin prick,guarding,3,16
Day 2 drug,M3,Pin prick,escape,1,16
