behaviour,measure,n_pairs,day1_median,day2_median,delta_median,p_wilcoxon,p_ttest,p_floor,n1,n2,day1_mean,day2_mean,day1_sem,day2_sem,p_mannwhitney,p_welch,q_wilcoxon
guarding,n_per_delivery,6,0.2625499500499501,0.12306501547987617,-0.15467562623135378,0.15625,0.15586344528308385,0.03125,6,6,0.22920301684977018,0.11391307917878431,0.04167828685825768,0.03402112943857972,0.04112554112554113,0.058825510540595365,0.22058823529411764
guarding,median_iei_s,5,4.38332895,103.31656335,98.93323439999999,0.625,0.6868792322617671,0.0625,6,5,167.930387625,105.64656101999996,160.94796926414398,39.55174626265132,0.24675324675324672,0.7208944673362647,0.625
escape,n_events,6,78.0,11.5,-71.0,0.03125,0.0004204244649926455,0.03125,6,6,81.33333333333333,12.833333333333334,7.834397090892049,3.0921046410351503,0.0021645021645021645,0.0001202137949126975,0.057692307692307696
escape,events_per_min,6,2.784696425618095,0.4084536030025968,-2.535187455410319,0.03125,0.00045730244821960903,0.03125,6,6,2.8843744890561993,0.45571995110764146,0.28118083717481324,0.10957273535686153,0.0021645021645021645,0.0001318711343394048,0.057692307692307696
escape,n_per_delivery,6,0.891980146290491,0.18938577586206895,-0.7709880107792993,0.03125,0.0012821949018911544,0.03125,6,6,0.9256049090060184,0.19267856118807195,0.10803538121079904,0.04256687917015296,0.0021645021645021645,0.0005333482728527105,0.057692307692307696
escape,median_iei_s,6,9.508323825,37.799962199999996,25.14997485,0.03125,0.23389283997116306,0.03125,6,6,10.758322575,179.78037577499995,1.8076299046945037,124.72512773113124,0.0021645021645021645,0.23339184703147903,0.057692307692307696
withdrawal,n_events,6,97.5,41.0,-53.5,0.03125,0.0004601448169772104,0.03125,6,6,98.0,47.0,3.1517191076194173,6.298147875897062,0.004998124765082457,0.00013454823274571513,0.057692307692307696
withdrawal,events_per_min,6,3.4569777478781125,1.4598449652894718,-1.907933451324801,0.03125,0.0005929073152080409,0.03125,6,6,3.4722695736326354,1.670221548633377,0.10994721606112148,0.2238256764580185,0.0021645021645021645,0.00014350393546181777,0.057692307692307696
withdrawal,n_per_delivery,6,1.094155844155844,0.6670892494929006,-0.369889705882353,0.03125,0.0070475807563553225,0.03125,6,6,1.104875075585748,0.7230081450561191,0.04488243708658389,0.08012011195873645,0.015151515151515152,0.0033010364872814372,0.057692307692307696
withdrawal,median_iei_s,6,2.11666455,3.14999685,1.2083321249999999,0.0625,0.027653081423336195,0.03125,6,6,2.052775725,3.1888856999999997,0.1944799609707222,0.4841686526894818,0.06493506493506493,0.06839313575690681,0.09375
flinch,n_events,6,59.0,21.5,-28.5,0.3125,0.12089232548623702,0.03125,6,6,71.66666666666667,27.666666666666668,19.093919916501633,7.135202247386623,0.054241117559770936,0.07158491121168545,0.35714285714285715
flinch,events_per_min,6,2.0854078930254705,0.762757699411489,-1.0194303404047775,0.3125,0.1227624352891638,0.03125,6,6,2.5399260836074813,0.9834844164434294,0.6776474833712832,0.25377330705035145,0.04112554112554113,0.07232804781037562,0.35714285714285715
flinch,n_per_delivery,6,0.6660351143109764,0.3599232456140351,-0.21964164976335362,0.4375,0.2250319673813298,0.03125,6,6,0.7949496061082977,0.4197779694578512,0.19961571766312333,0.09680870666709299,0.17965367965367965,0.13330374720267665,0.4772727272727273
flinch,median_iei_s,6,1.38333195,1.8666648,1.058332275,0.3125,0.1932053876823374,0.03125,6,6,2.191664475,13.022209199999999,0.7097951659213515,7.5022275556791875,0.748348568843747,0.20916761259464953,0.35714285714285715
