session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery,base,delta
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.9997,4.999994999999999,0,0.0,escape,affective,19,8.3666583,3.8000038000038,2.7888888888888888,0.95,0.4183329149999999,2.0000020000020005,1.8000018000017994
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,20,,4.000004000004001,,1.0,,0.0,4.000004000004001
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.9997,4.999994999999999,0,0.0,flinch,reflexive,1,,0.2000002000002,,0.05,,0.0,0.2000002000002
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.9997,4.999994999999999,0,0.0,attending,affective,5,0.7999991999999999,1.0000010000010002,0.2666666666666666,0.1612903225806451,0.0258064258064516,0.0,1.0000010000010002
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.9997,4.999994999999999,0,0.0,lickbite,affective,14,4.9333284,2.800002800002801,1.6444444444444446,0.4516129032258064,0.1591396258064516,0.0,2.800002800002801
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.9997,4.999994999999999,0,0.0,guarding,affective,8,3.2666634,1.6000016000016002,1.088888888888889,0.2580645161290322,0.1053762387096774,0.0,1.6000016000016002
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.9997,4.999994999999999,0,0.0,escape,affective,9,9.6333237,1.8000018000018003,3.2111111111111112,0.2903225806451613,0.3107523774193548,2.0000020000020005,-0.20000020000020013
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,32,,6.400006400006401,,1.032258064516129,,0.0,6.400006400006401
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block3_Pin prick,stimulus,3,3,Pin prick,31,299.9997,4.999994999999999,0,0.0,flinch,reflexive,5,,1.0000010000010002,,0.1612903225806451,,0.0,1.0000010000010002
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block4_Light touch,stimulus,4,4,Light touch,17,279.0330543,4.650550905,1,0.0,attending,affective,3,1.7999982,0.645084864413499,0.6450842193286346,0.1764705882352941,0.1058822470588235,0.0,0.645084864413499
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block4_Light touch,stimulus,4,4,Light touch,17,279.0330543,4.650550905,1,0.0,lickbite,affective,2,0.6333327,0.4300565762756659,0.2269740771711862,0.1176470588235294,0.0372548647058823,0.0,0.4300565762756659
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block4_Light touch,stimulus,4,4,Light touch,17,279.0330543,4.650550905,1,0.0,guarding,affective,1,0.999999,0.2150282881378329,0.3583801218492414,0.0588235294117647,0.0588234705882352,0.0,0.2150282881378329
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block4_Light touch,stimulus,4,4,Light touch,17,279.0330543,4.650550905,1,0.0,escape,affective,12,10.0333233,2.580339457653996,3.5957472225540554,0.7058823529411765,0.5901954882352941,2.0000020000020005,0.5803374576519955
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block4_Light touch,stimulus,4,4,Light touch,17,279.0330543,4.650550905,1,0.0,withdrawal,reflexive,14,,3.010396033929662,,0.8235294117647058,,0.0,3.010396033929662
