day,file,session,mouse,sex,phase,treatment,session_s,n_deliveries,stim_median_iti_s,cls,behaviour,n_events,events_per_min,n_per_delivery,total_dur_s,pct_of_session,median_iei_s
Day2 drug,ScoringAB_male1bottom001226_09_0314_00_32.mat,10,M1,M,Post-treatment,SBI-553,1696.6,64,1.97,affective,lickbite,1,0.03536418790156585,0.015625,0.6999993,0.04125817796027428,
Day2 drug,ScoringAB_male1bottom001226_09_0314_00_32.mat,10,M1,M,Post-treatment,SBI-553,1696.6,64,1.97,affective,guarding,1,0.03536418790156585,0.015625,0.2999997,0.017682076268688972,
Day2 drug,ScoringAB_male1bottom001226_09_0314_00_32.mat,10,M1,M,Post-treatment,SBI-553,1696.6,64,1.97,affective,escape,11,0.3890060669172243,0.171875,15.099984899999999,0.889997838857345,27.6999723
Day2 drug,ScoringAB_male1bottom001226_09_0314_00_32.mat,10,M1,M,Post-treatment,SBI-553,1696.6,64,1.97,reflexive,withdrawal,38,1.343839140259502,0.59375,,,4.7333286
Day2 drug,ScoringAB_male1bottom001226_09_0314_00_32.mat,10,M1,M,Post-treatment,SBI-553,1696.6,64,1.97,reflexive,flinch,18,0.6365553822281852,0.28125,,,30.8999691
Day2 drug,ScoringAB_male2bottom001126_09_0313_30_46.mat,11,M2,M,Post-treatment,SBI-553,1694.4,70,1.73,affective,attending,13,0.46033134774700296,0.18571428571428572,14.833318499999999,0.8754155764955835,122.46654419999999
Day2 drug,ScoringAB_male2bottom001126_09_0313_30_46.mat,11,M2,M,Post-treatment,SBI-553,1694.4,70,1.73,affective,lickbite,3,0.10623031101853915,0.04285714285714286,4.0999959,0.2419687997954085,95.98323735
Day2 drug,ScoringAB_male2bottom001126_09_0313_30_46.mat,11,M2,M,Post-treatment,SBI-553,1694.4,70,1.73,affective,guarding,2,0.07082020734569276,0.02857142857142857,2.8333304999999998,0.16721421124072944,230.16643649999997
Day2 drug,ScoringAB_male2bottom001126_09_0313_30_46.mat,11,M2,M,Post-treatment,SBI-553,1694.4,70,1.73,affective,escape,21,0.743612177129774,0.3,33.733299599999995,1.9908327267719788,18.1666485
Day2 drug,ScoringAB_male2bottom001126_09_0313_30_46.mat,11,M2,M,Post-treatment,SBI-553,1694.4,70,1.73,reflexive,withdrawal,39,1.3809940432410088,0.5571428571428572,,,3.41666325
Day2 drug,ScoringAB_male2bottom001126_09_0313_30_46.mat,11,M2,M,Post-treatment,SBI-553,1694.4,70,1.73,reflexive,flinch,15,0.5311515550926957,0.21428571428571427,,,2.4666642
Day2 drug,ScoringAB_male3bottom001026_09_0313_01_11.mat,12,M3,M,Post-treatment,SBI-553,1689.2,71,2.18,affective,attending,19,0.6748630384599364,0.2676056338028169,22.133311199999998,1.3102590918957318,38.68329464999999
Day2 drug,ScoringAB_male3bottom001026_09_0313_01_11.mat,12,M3,M,Post-treatment,SBI-553,1689.2,71,2.18,affective,lickbite,9,0.3196719655862857,0.1267605633802817,5.5333277999999995,0.32756477297393294,3.9499960499999998
Day2 drug,ScoringAB_male3bottom001026_09_0313_01_11.mat,12,M3,M,Post-treatment,SBI-553,1689.2,71,2.18,affective,guarding,12,0.42622928744838096,0.16901408450704225,8.0333253,0.4755609053416737,4.0999959
Day2 drug,ScoringAB_male3bottom001026_09_0313_01_11.mat,12,M3,M,Post-treatment,SBI-553,1689.2,71,2.18,affective,escape,22,0.7814203603220318,0.30985915492957744,30.4666362,1.8035795331215345,44.5666221
Day2 drug,ScoringAB_male3bottom001026_09_0313_01_11.mat,12,M3,M,Post-treatment,SBI-553,1689.2,71,2.18,reflexive,withdrawal,78,2.770490368414476,1.0985915492957747,,,1.2999987
Day2 drug,ScoringAB_male3bottom001026_09_0313_01_11.mat,12,M3,M,Post-treatment,SBI-553,1689.2,71,2.18,reflexive,flinch,59,2.0956273299545396,0.8309859154929577,,,1.2333321
