session,day,mouse,sex,phase,period,kind,pos,stim_code,stimulus,n_del,dur_min,truncated,uncertain_pct,attending_dur_pct_time,escape_dur_pct_time,guarding_dur_pct_time,lickbite_dur_pct_time,attending_n_per_delivery,escape_n_per_delivery,flinch_n_per_delivery,guarding_n_per_delivery,lickbite_n_per_delivery,withdrawal_n_per_delivery,attending_rate_per_min,escape_rate_per_min,flinch_rate_per_min,guarding_rate_per_min,lickbite_rate_per_min,withdrawal_rate_per_min
4,1,M1,M,Baseline (no injection),block3_Heat,stimulus,3,3,Heat,22,5.94888294,0,0.0,4.5199850579006355,5.668658946581996,2.838998879342548,1.7370190511766903,0.6818181818181818,0.6363636363636364,2.727272727272727,0.4090909090909091,0.4090909090909091,0.8181818181818182,2.5214817893189205,2.3533830033643257,10.085927157275682,1.5128890735913523,1.5128890735913523,3.0257781471827045
4,1,M1,M,Baseline (no injection),block4_Pin prick,stimulus,4,4,Pin prick,24,5.031661635,0,0.0,3.356519818924589,4.2618968753450375,3.356519818924589,0.0,0.3333333333333333,0.2916666666666667,1.5833333333333333,0.375,0.0,1.125,1.5899320304752567,1.3911905266658497,7.5521771447574695,1.7886735342846638,0.0,5.366020602853991
5,1,M2,M,Baseline (no injection),baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,21.455555555555556,0.0,0.0,,,,,,,0.0,6.800006800006801,0.0,0.0,0.0,0.0
5,1,M2,M,Baseline (no injection),block1_Pin prick,stimulus,1,1,Pin prick,23,5.999994,0,0.0,1.0555555555555556,12.305555555555555,0.861111111111111,0.35185185185185186,0.4782608695652174,1.173913043478261,1.434782608695652,0.17391304347826086,0.2608695652173913,1.3478260869565217,1.8333351666685,4.5000045000045,5.5000055000055,0.666667333334,1.000001000001,5.1666718333384996
5,1,M2,M,Baseline (no injection),block2_Mild touch,stimulus,2,2,Mild touch,21,5.58332775,0,0.0,1.5422885572139304,5.014925373134329,2.1492537313432836,0.44776119402985076,0.42857142857142855,0.7619047619047619,1.0476190476190477,0.2857142857142857,0.23809523809523808,1.0476190476190477,1.6119419104493733,2.8656745074655525,3.9403024477651347,1.0746279402995822,0.8955232835829852,3.9403024477651347
5,1,M2,M,Baseline (no injection),block3_Heat,stimulus,3,3,Heat,16,5.73443871,0,0.0,2.422011238132145,5.560937802751404,2.470451462894788,1.3369502034489442,0.5625,1.0,2.9375,0.625,0.4375,1.8125,1.5694648517744816,2.7901597364879676,8.196094225933404,1.7438498353049796,1.2206948847134858,5.057164522384441
5,1,M2,M,Baseline (no injection),block4_Light touch,stimulus,4,4,Light touch,23,4.86332847,0,0.0,1.964816084075851,4.30660269591044,2.147589673292209,0.5026273703449852,0.34782608695652173,0.391304347826087,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.7391304347826086,1.6449639479111722,1.8505844414000685,1.6449639479111722,0.20562049348889652,0.20562049348889652,3.4955483893112405
6,1,M3,M,Baseline (no injection),baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,8.677777777777777,0.0,0.0,,,,,,,0.0,2.4000024000024003,0.0,0.0,0.0,0.0
6,1,M3,M,Baseline (no injection),block1_Pin prick,stimulus,1,1,Pin prick,22,5.999994,0,0.0,1.9074074074074074,6.138888888888888,0.5555555555555556,1.074074074074074,0.5909090909090909,0.5454545454545454,0.5,0.09090909090909091,0.22727272727272727,1.0454545454545454,2.1666688333355,2.000002000002,1.8333351666685,0.333333666667,0.8333341666675,3.8333371666705
6,1,M3,M,Baseline (no injection),block2_Mild touch,stimulus,2,2,Mild touch,24,3.97444047,0,0.0,2.3343584008946046,9.225608051439755,1.4257757897679617,0.2655856863293263,0.4166666666666667,0.4583333333333333,0.16666666666666666,0.16666666666666666,0.125,1.125,2.5160774391973724,2.7676851831171096,1.006430975678949,1.006430975678949,0.7548232317592116,6.793409085832905
6,1,M3,M,Baseline (no injection),block3_Light touch,stimulus,3,3,Light touch,25,5.999994,0,0.0,1.8796296296296295,3.453703703703704,1.4074074074074074,0.12037037037037036,0.32,0.24,0.4,0.2,0.04,1.04,1.333334666668,1.000001000001,1.666668333335,0.8333341666675,0.1666668333335,4.333337666671
6,1,M3,M,Baseline (no injection),block4_Heat,stimulus,4,4,Heat,20,5.426105685,0,0.0,2.5494010443329578,6.7779256680659365,2.139858707893928,2.23200573359271,0.6,0.7,1.15,0.65,0.6,1.4,2.211530828301587,2.580119299685185,4.238767420911375,2.395825063993386,2.211530828301587,5.16023859937037
