session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block1_Pin prick,stimulus,1,1,Pin prick,12,359.99964,5.999994,0,0.0,guarding,affective,2,1.999998,0.333333666667,0.5555555555555556,0.16666666666666666,0.1666665
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block1_Pin prick,stimulus,1,1,Pin prick,12,359.99964,5.999994,0,0.0,escape,affective,0,0.0,0.0,0.0,0.0,0.0
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block1_Pin prick,stimulus,1,1,Pin prick,12,359.99964,5.999994,0,0.0,withdrawal,reflexive,12,,2.000002000002,,1.0,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block1_Pin prick,stimulus,1,1,Pin prick,12,359.99964,5.999994,0,0.0,flinch,reflexive,10,,1.666668333335,,0.8333333333333334,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block2_Heat,stimulus,2,2,Heat,13,356.7996432,5.94666072,0,0.0,attending,affective,4,2.7666638999999997,0.6726464125567265,0.7754110612855007,0.3076923076923077,0.2128203
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block2_Heat,stimulus,2,2,Heat,13,356.7996432,5.94666072,0,0.0,lickbite,affective,4,1.2999987,0.6726464125567265,0.36434977578475336,0.3076923076923077,0.0999999
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block2_Heat,stimulus,2,2,Heat,13,356.7996432,5.94666072,0,0.0,guarding,affective,4,5.0999948999999996,0.6726464125567265,1.4293721973094171,0.3076923076923077,0.39230729999999997
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block2_Heat,stimulus,2,2,Heat,13,356.7996432,5.94666072,0,0.0,escape,affective,1,0.8999990999999999,0.16816160313918163,0.2522421524663677,0.07692307692307693,0.06923069999999999
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block2_Heat,stimulus,2,2,Heat,13,356.7996432,5.94666072,0,0.0,withdrawal,reflexive,14,,2.3542624439485427,,1.0769230769230769,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block2_Heat,stimulus,2,2,Heat,13,356.7996432,5.94666072,0,0.0,flinch,reflexive,12,,2.0179392376701797,,0.9230769230769231,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block3_Light touch,stimulus,3,3,Light touch,18,359.99964,5.999994,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block3_Light touch,stimulus,3,3,Light touch,18,359.99964,5.999994,0,0.0,lickbite,affective,1,1.2333321,0.1666668333335,0.34259259259259256,0.05555555555555555,0.06851845
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block3_Light touch,stimulus,3,3,Light touch,18,359.99964,5.999994,0,0.0,guarding,affective,0,0.0,0.0,0.0,0.0,0.0
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block3_Light touch,stimulus,3,3,Light touch,18,359.99964,5.999994,0,0.0,escape,affective,0,0.0,0.0,0.0,0.0,0.0
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block3_Light touch,stimulus,3,3,Light touch,18,359.99964,5.999994,0,0.0,withdrawal,reflexive,8,,1.333334666668,,0.4444444444444444,
