session,day,mouse,sex,phase,period,kind,pos,stim_code,stimulus,n_del,dur_min,truncated,uncertain_pct,attending_dur_pct_time,escape_dur_pct_time,guarding_dur_pct_time,lickbite_dur_pct_time,attending_n_per_delivery,escape_n_per_delivery,flinch_n_per_delivery,guarding_n_per_delivery,lickbite_n_per_delivery,withdrawal_n_per_delivery,attending_rate_per_min,escape_rate_per_min,flinch_rate_per_min,guarding_rate_per_min,lickbite_rate_per_min,withdrawal_rate_per_min
12,2,M3,M,Post-treatment,block3_Heat,stimulus,3,3,Heat,21,5.6305499249999995,0,0.0,3.0093734583127776,2.84163788850518,1.4898865318204244,1.4010853478046374,0.3333333333333333,0.38095238095238093,1.380952380952381,0.42857142857142855,0.38095238095238093,1.9523809523809523,1.243217819438836,1.4208203650729552,5.150473823389463,1.5984229107070747,1.4208203650729552,7.281704370998895
12,2,M3,M,Post-treatment,block4_Pin prick,stimulus,4,4,Pin prick,16,4.673328659999999,0,0.0,2.3656680932001906,0.1902044698050404,1.0699001426533525,0.28530670470756064,0.375,0.0625,1.0625,0.1875,0.0625,0.8125,1.283881455065478,0.21398024251091302,3.6376641226855213,0.641940727532739,0.21398024251091302,2.781743152641869
7,2,F1,F,Post-treatment,baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,2.411111111111111,0.0,0.0,,,,,,,0.0,1.0000010000010002,0.0,0.0,0.0,0.0
7,2,F1,F,Post-treatment,block1_Pin prick,stimulus,1,1,Pin prick,17,5.999994,0,0.0,0.0,1.4907407407407407,0.2777777777777778,0.06481481481481481,0.0,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.9411764705882353,0.0,0.5000005000005,0.666667333334,0.1666668333335,0.1666668333335,2.666669333336
7,2,F1,F,Post-treatment,block2_Heat,stimulus,2,2,Heat,15,5.88110523,0,0.0,0.0,1.8326091063668997,2.852824485169091,0.6801435858681276,0.0,0.26666666666666666,0.06666666666666667,0.4,0.13333333333333333,0.7333333333333333,0.0,0.6801442660123938,0.17003606650309844,1.0202163990185906,0.3400721330061969,1.8703967315340826
7,2,F1,F,Post-treatment,block3_Mild touch,stimulus,3,3,Mild touch,13,5.868327464999999,0,0.0,0.0,0.0,0.28401022436807727,0.9277667329357191,0.0,0.0,0.5384615384615384,0.07692307692307693,0.5384615384615384,0.5384615384615384,0.0,0.0,1.1928441351900598,0.1704063050271514,1.1928441351900598,1.1928441351900598
7,2,F1,F,Post-treatment,block4_Light touch,stimulus,4,4,Light touch,13,4.9061062049999995,0,0.0,0.2491224096931265,0.0,2.672404031253539,1.0757558600385007,0.23076923076923078,0.0,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.611482889820564,0.0,0.203827629940188,1.01913814970094,0.611482889820564,1.01913814970094
8,2,F2,F,Post-treatment,baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,0.7666666666666668,0.0,0.0,,,,,,,0.0,0.20000020000020002,0.0,0.0,0.0,0.0
8,2,F2,F,Post-treatment,block1_Pin prick,stimulus,1,1,Pin prick,12,5.999994,0,0.0,0.25,0.0,0.5555555555555556,0.3333333333333333,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.08333333333333333,1.0,0.333333666667,0.0,1.666668333335,0.333333666667,0.1666668333335,2.000002000002
8,2,F2,F,Post-treatment,block2_Heat,stimulus,2,2,Heat,13,5.94666072,0,0.0,0.7754110612855007,0.2522421524663677,1.4293721973094171,0.36434977578475336,0.3076923076923077,0.07692307692307693,0.9230769230769231,0.3076923076923077,0.3076923076923077,1.0769230769230769,0.6726464125567265,0.16816160313918163,2.0179392376701797,0.6726464125567265,0.6726464125567265,2.3542624439485427
