Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,58,4,light,12,0.23,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,59,4,light,13,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,60,4,light,14,0.40,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,61,4,light,15,1.10,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,62,4,light,16,0.63,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,63,4,light,17,30.00,0,0,0,0.00,0,0.00,0,0.00,2,3.67,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,64,4,light,18,0.43,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,65,4,light,19,1.37,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,66,4,light,20,30.00,0,0,1,0.30,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,67,4,light,21,0.93,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,68,4,light,22,4.13,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,69,4,light,23,3.23,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,70,4,light,24,30.00,0,0,0,0.00,0,0.00,0,0.00,1,1.50,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
